=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     featureVectorsDumpCaraotaDigitalCNNELaPatilla_cluster_density-weka.filters.unsupervised.attribute.RenameNominalValues-R11-Ncluster2:y,cluster1:n-weka.filters.unsupervised.attribute.SortLabels-Rfirst-last-SNON-CASE-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst
Instances:    3000
Attributes:   11
              tweet_id
              hashtags
              mentions
              uppercase
              nonalpha
              urls
              len
              numbers
              favorite_count
              retweet_count
              cluster
Test mode:    split 70.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 1.75 seconds

=== Predictions on test split ===

inst#,actual,predicted,error,prediction
193,1:n,1:n,,0.752
194,2:y,2:y,,0.642
195,2:y,2:y,,0.576
196,1:n,1:n,,0.61
197,1:n,1:n,,0.752
198,1:n,1:n,,0.751
199,1:n,1:n,,0.724
200,1:n,1:n,,0.75
201,2:y,2:y,,0.71
202,2:y,2:y,,0.721
203,2:y,2:y,,0.676
204,2:y,2:y,,0.694
205,1:n,1:n,,0.745
206,1:n,1:n,,0.747
207,1:n,1:n,,0.744
208,1:n,1:n,,0.733
209,2:y,2:y,,0.718
210,1:n,1:n,,0.746
211,1:n,2:y,+,0.585
212,2:y,2:y,,0.565
213,1:n,1:n,,0.746
214,2:y,1:n,+,0.684
215,1:n,1:n,,0.728
216,1:n,1:n,,0.741
217,1:n,1:n,,0.746
218,1:n,1:n,,0.748
219,2:y,2:y,,0.56
220,2:y,2:y,,0.562
221,2:y,2:y,,0.675
222,1:n,1:n,,0.743
223,1:n,1:n,,0.561
224,2:y,2:y,,0.721
225,1:n,1:n,,0.753
226,2:y,1:n,+,0.503
227,1:n,1:n,,0.74
228,1:n,1:n,,0.575
229,1:n,1:n,,0.754
230,2:y,2:y,,0.57
231,2:y,2:y,,0.541
232,2:y,2:y,,0.692
233,1:n,1:n,,0.751
234,1:n,1:n,,0.745
235,2:y,2:y,,0.72
236,1:n,1:n,,0.728
237,2:y,2:y,,0.634
238,2:y,2:y,,0.542
239,2:y,2:y,,0.531
240,2:y,1:n,+,0.504
241,1:n,1:n,,0.747
242,1:n,1:n,,0.751
243,1:n,1:n,,0.752
244,1:n,1:n,,0.747
245,1:n,1:n,,0.746
246,2:y,2:y,,0.721
247,1:n,1:n,,0.744
248,2:y,2:y,,0.675
249,1:n,1:n,,0.566
250,1:n,1:n,,0.751
251,1:n,1:n,,0.746
252,1:n,1:n,,0.747
253,2:y,2:y,,0.61
254,2:y,2:y,,0.696
255,1:n,1:n,,0.707
256,1:n,1:n,,0.75
257,1:n,1:n,,0.754
258,2:y,2:y,,0.691
259,2:y,2:y,,0.711
260,2:y,2:y,,0.711
261,2:y,2:y,,0.711
262,2:y,2:y,,0.721
263,2:y,2:y,,0.711
264,1:n,1:n,,0.751
265,1:n,1:n,,0.751
266,1:n,1:n,,0.751
267,1:n,1:n,,0.752
268,1:n,1:n,,0.743
269,1:n,1:n,,0.752
270,2:y,2:y,,0.504
271,2:y,2:y,,0.616
272,1:n,1:n,,0.75
273,2:y,2:y,,0.718
274,1:n,1:n,,0.747
275,1:n,1:n,,0.751
276,1:n,1:n,,0.749
277,1:n,1:n,,0.743
278,1:n,1:n,,0.726
279,1:n,1:n,,0.743
280,1:n,1:n,,0.751
281,1:n,1:n,,0.752
282,2:y,2:y,,0.6
283,1:n,1:n,,0.743
284,2:y,1:n,+,0.525
285,1:n,1:n,,0.751
286,1:n,1:n,,0.75
287,2:y,2:y,,0.641
288,1:n,1:n,,0.752
289,2:y,2:y,,0.711
290,2:y,2:y,,0.545
291,2:y,2:y,,0.721
292,1:n,1:n,,0.743
293,1:n,1:n,,0.545
294,2:y,2:y,,0.628
295,2:y,2:y,,0.57
296,2:y,2:y,,0.692
297,1:n,1:n,,0.74
298,1:n,1:n,,0.746
299,1:n,1:n,,0.742
300,1:n,1:n,,0.748
301,1:n,1:n,,0.746
302,2:y,2:y,,0.721
303,2:y,2:y,,0.683
304,1:n,1:n,,0.752
305,1:n,1:n,,0.751
306,2:y,1:n,+,0.594
307,2:y,2:y,,0.511
308,1:n,1:n,,0.747
309,1:n,1:n,,0.751
310,1:n,1:n,,0.747
311,1:n,1:n,,0.746
312,1:n,1:n,,0.752
313,1:n,1:n,,0.743
314,2:y,2:y,,0.618
315,1:n,1:n,,0.726
316,2:y,2:y,,0.686
317,1:n,1:n,,0.752
318,1:n,1:n,,0.745
319,1:n,1:n,,0.746
320,1:n,1:n,,0.749
321,2:y,2:y,,0.557
322,2:y,1:n,+,0.523
323,2:y,2:y,,0.586
324,2:y,2:y,,0.515
325,1:n,1:n,,0.751
326,2:y,2:y,,0.509
327,2:y,2:y,,0.548
328,2:y,2:y,,0.701
329,1:n,1:n,,0.734
330,2:y,2:y,,0.677
331,1:n,1:n,,0.751
332,2:y,1:n,+,0.503
333,1:n,1:n,,0.746
334,2:y,2:y,,0.64
335,1:n,1:n,,0.747
336,2:y,2:y,,0.621
337,2:y,2:y,,0.553
338,2:y,2:y,,0.597
339,2:y,2:y,,0.695
340,1:n,1:n,,0.545
341,2:y,2:y,,0.711
342,2:y,2:y,,0.543
343,1:n,1:n,,0.751
344,2:y,2:y,,0.711
345,2:y,1:n,+,0.535
346,1:n,1:n,,0.752
347,2:y,2:y,,0.72
348,2:y,2:y,,0.721
349,2:y,2:y,,0.706
350,2:y,2:y,,0.707
351,2:y,1:n,+,0.501
352,1:n,1:n,,0.748
353,2:y,2:y,,0.689
354,2:y,2:y,,0.68
355,2:y,2:y,,0.674
356,1:n,1:n,,0.746
357,1:n,1:n,,0.751
358,2:y,2:y,,0.721
359,1:n,1:n,,0.606
360,2:y,2:y,,0.721
361,1:n,1:n,,0.753
362,1:n,1:n,,0.563
363,1:n,1:n,,0.744
364,1:n,1:n,,0.746
365,1:n,1:n,,0.618
366,1:n,1:n,,0.747
367,2:y,2:y,,0.72
368,2:y,2:y,,0.51
369,2:y,2:y,,0.71
370,2:y,2:y,,0.532
371,1:n,1:n,,0.751
372,2:y,2:y,,0.541
373,1:n,1:n,,0.743
374,1:n,1:n,,0.743
375,1:n,1:n,,0.751
376,1:n,1:n,,0.751
377,2:y,2:y,,0.711
378,1:n,1:n,,0.752
379,1:n,1:n,,0.57
380,2:y,2:y,,0.711
381,1:n,1:n,,0.515
382,1:n,1:n,,0.751
383,1:n,1:n,,0.746
384,1:n,1:n,,0.534
385,1:n,1:n,,0.511
386,1:n,1:n,,0.736
387,1:n,1:n,,0.595
388,1:n,1:n,,0.752
389,1:n,1:n,,0.74
390,2:y,2:y,,0.713
391,2:y,2:y,,0.711
392,1:n,1:n,,0.749
393,1:n,1:n,,0.746
394,2:y,2:y,,0.718
395,1:n,1:n,,0.752
396,1:n,1:n,,0.742
397,2:y,2:y,,0.5
398,2:y,2:y,,0.568
399,2:y,2:y,,0.641
400,1:n,1:n,,0.727
401,1:n,1:n,,0.746
402,2:y,2:y,,0.52
403,1:n,1:n,,0.745
404,2:y,2:y,,0.509
405,1:n,1:n,,0.747
406,1:n,1:n,,0.747
407,1:n,1:n,,0.602
408,2:y,2:y,,0.711
409,2:y,2:y,,0.595
410,1:n,1:n,,0.75
411,1:n,1:n,,0.748
412,1:n,1:n,,0.746
413,1:n,1:n,,0.746
414,1:n,1:n,,0.746
415,2:y,2:y,,0.711
416,2:y,2:y,,0.536
417,2:y,2:y,,0.718
418,1:n,1:n,,0.752
419,1:n,1:n,,0.726
420,1:n,1:n,,0.751
421,2:y,2:y,,0.684
422,1:n,1:n,,0.747
423,1:n,1:n,,0.532
424,1:n,1:n,,0.749
425,1:n,1:n,,0.746
426,1:n,1:n,,0.731
427,2:y,2:y,,0.684
428,2:y,2:y,,0.721
429,2:y,2:y,,0.57
430,2:y,2:y,,0.721
431,1:n,1:n,,0.747
432,2:y,2:y,,0.721
433,2:y,2:y,,0.644
434,1:n,1:n,,0.752
435,1:n,1:n,,0.751
436,1:n,1:n,,0.751
437,1:n,1:n,,0.75
438,2:y,2:y,,0.531
439,1:n,1:n,,0.746
440,1:n,1:n,,0.626
441,1:n,1:n,,0.743
442,2:y,2:y,,0.721
443,1:n,1:n,,0.568
444,2:y,2:y,,0.63
445,2:y,2:y,,0.554
446,1:n,1:n,,0.605
447,1:n,1:n,,0.746
448,1:n,1:n,,0.751
449,2:y,2:y,,0.667
450,1:n,1:n,,0.752
451,2:y,2:y,,0.51
452,1:n,1:n,,0.6
453,1:n,1:n,,0.751
454,1:n,1:n,,0.746
455,1:n,1:n,,0.744
456,2:y,2:y,,0.676
457,1:n,1:n,,0.752
458,2:y,1:n,+,0.53
459,1:n,1:n,,0.504
460,1:n,1:n,,0.748
461,1:n,1:n,,0.752
462,2:y,2:y,,0.714
463,2:y,2:y,,0.656
464,2:y,2:y,,0.546
465,1:n,1:n,,0.753
466,2:y,2:y,,0.721
467,2:y,1:n,+,0.531
468,1:n,1:n,,0.747
469,1:n,1:n,,0.515
470,1:n,1:n,,0.751
471,1:n,1:n,,0.749
472,2:y,1:n,+,0.568
473,1:n,1:n,,0.749
474,2:y,2:y,,0.72
475,1:n,1:n,,0.745
476,1:n,1:n,,0.748
477,1:n,1:n,,0.752
478,1:n,1:n,,0.549
479,1:n,1:n,,0.557
480,1:n,1:n,,0.742
481,2:y,2:y,,0.604
482,2:y,2:y,,0.695
483,1:n,1:n,,0.747
484,2:y,2:y,,0.677
485,2:y,2:y,,0.642
486,1:n,1:n,,0.747
487,2:y,2:y,,0.629
488,1:n,1:n,,0.746
489,1:n,1:n,,0.747
490,1:n,1:n,,0.751
491,1:n,1:n,,0.746
492,2:y,2:y,,0.614
493,2:y,2:y,,0.607
494,1:n,1:n,,0.752
495,2:y,2:y,,0.687
496,2:y,2:y,,0.6
497,1:n,1:n,,0.747
498,2:y,2:y,,0.708
499,1:n,1:n,,0.75
500,2:y,2:y,,0.611
501,1:n,1:n,,0.732
502,2:y,2:y,,0.571
503,1:n,1:n,,0.741
504,1:n,1:n,,0.753
505,1:n,1:n,,0.749
506,1:n,1:n,,0.745
507,1:n,1:n,,0.747
508,1:n,1:n,,0.751
509,1:n,1:n,,0.747
510,2:y,2:y,,0.66
511,2:y,2:y,,0.6
512,1:n,1:n,,0.751
513,1:n,1:n,,0.747
514,1:n,1:n,,0.743
515,2:y,2:y,,0.695
516,1:n,1:n,,0.749
517,1:n,1:n,,0.752
518,2:y,2:y,,0.72
519,2:y,2:y,,0.642
520,1:n,1:n,,0.751
521,2:y,2:y,,0.545
522,1:n,1:n,,0.746
523,1:n,1:n,,0.746
524,2:y,2:y,,0.668
525,2:y,2:y,,0.516
526,2:y,2:y,,0.686
527,2:y,2:y,,0.711
528,1:n,1:n,,0.751
529,1:n,1:n,,0.747
530,1:n,1:n,,0.751
531,1:n,1:n,,0.744
532,2:y,2:y,,0.679
533,2:y,2:y,,0.529
534,1:n,1:n,,0.751
535,1:n,1:n,,0.751
536,2:y,2:y,,0.628
537,1:n,1:n,,0.752
538,2:y,2:y,,0.721
539,1:n,1:n,,0.589
540,1:n,1:n,,0.749
541,2:y,2:y,,0.628
542,2:y,2:y,,0.711
543,2:y,2:y,,0.631
544,1:n,1:n,,0.575
545,2:y,1:n,+,0.521
546,2:y,2:y,,0.72
547,1:n,1:n,,0.746
548,1:n,1:n,,0.746
549,2:y,2:y,,0.571
550,1:n,1:n,,0.751
551,2:y,2:y,,0.718
552,1:n,1:n,,0.579
553,2:y,2:y,,0.668
554,1:n,1:n,,0.746
555,2:y,2:y,,0.67
556,1:n,1:n,,0.747
557,1:n,1:n,,0.74
558,1:n,1:n,,0.74
559,2:y,2:y,,0.683
560,2:y,2:y,,0.71
561,1:n,1:n,,0.746
562,1:n,1:n,,0.747
563,1:n,1:n,,0.746
564,1:n,1:n,,0.71
565,2:y,2:y,,0.668
566,1:n,1:n,,0.746
567,1:n,1:n,,0.751
568,1:n,1:n,,0.744
569,1:n,1:n,,0.589
570,2:y,2:y,,0.662
571,1:n,1:n,,0.751
572,1:n,1:n,,0.725
573,2:y,2:y,,0.687
574,2:y,2:y,,0.704
575,2:y,2:y,,0.545
576,2:y,2:y,,0.644
577,2:y,2:y,,0.628
578,2:y,2:y,,0.636
579,2:y,2:y,,0.674
580,2:y,2:y,,0.711
581,2:y,1:n,+,0.53
582,1:n,1:n,,0.751
583,1:n,1:n,,0.729
584,2:y,2:y,,0.63
585,2:y,2:y,,0.691
586,1:n,1:n,,0.741
587,1:n,1:n,,0.751
588,1:n,1:n,,0.751
589,2:y,2:y,,0.711
590,1:n,1:n,,0.613
591,1:n,1:n,,0.749
592,2:y,2:y,,0.721
593,1:n,1:n,,0.751
594,2:y,2:y,,0.559
595,2:y,2:y,,0.593
596,1:n,1:n,,0.741
597,2:y,2:y,,0.714
598,1:n,1:n,,0.744
599,1:n,1:n,,0.746
600,2:y,1:n,+,0.547
601,2:y,2:y,,0.714
602,1:n,1:n,,0.567
603,1:n,1:n,,0.749
604,1:n,1:n,,0.751
605,2:y,2:y,,0.721
606,1:n,1:n,,0.755
607,2:y,2:y,,0.683
608,2:y,2:y,,0.62
609,1:n,1:n,,0.746
610,2:y,2:y,,0.718
611,1:n,1:n,,0.755
612,2:y,2:y,,0.585
613,2:y,1:n,+,0.635
614,2:y,2:y,,0.64
615,1:n,1:n,,0.588
616,2:y,2:y,,0.693
617,1:n,1:n,,0.748
618,1:n,1:n,,0.749
619,1:n,1:n,,0.556
620,2:y,2:y,,0.519
621,1:n,1:n,,0.747
622,2:y,2:y,,0.544
623,1:n,1:n,,0.751
624,1:n,1:n,,0.751
625,2:y,2:y,,0.701
626,1:n,2:y,+,0.553
627,2:y,1:n,+,0.532
628,1:n,1:n,,0.715
629,2:y,2:y,,0.721
630,1:n,1:n,,0.746
631,1:n,1:n,,0.752
632,2:y,2:y,,0.503
633,1:n,1:n,,0.752
634,2:y,1:n,+,0.527
635,2:y,2:y,,0.636
636,1:n,1:n,,0.751
637,2:y,2:y,,0.701
638,1:n,1:n,,0.746
639,1:n,1:n,,0.746
640,1:n,1:n,,0.746
641,1:n,1:n,,0.751
642,2:y,2:y,,0.505
643,1:n,1:n,,0.746
644,1:n,1:n,,0.751
645,1:n,1:n,,0.747
646,1:n,1:n,,0.751
647,1:n,1:n,,0.748
648,2:y,2:y,,0.554
649,1:n,1:n,,0.746
650,2:y,2:y,,0.674
651,1:n,1:n,,0.746
652,2:y,2:y,,0.692
653,1:n,1:n,,0.736
654,2:y,1:n,+,0.5
655,2:y,2:y,,0.511
656,2:y,2:y,,0.67
657,2:y,2:y,,0.67
658,2:y,2:y,,0.692
659,1:n,1:n,,0.587
660,1:n,1:n,,0.748
661,1:n,1:n,,0.745
662,1:n,1:n,,0.605
663,2:y,2:y,,0.541
664,1:n,1:n,,0.747
665,1:n,1:n,,0.745
666,2:y,1:n,+,0.534
667,1:n,1:n,,0.751
668,2:y,2:y,,0.72
669,2:y,2:y,,0.614
670,1:n,1:n,,0.751
671,2:y,2:y,,0.701
672,1:n,1:n,,0.747
673,1:n,1:n,,0.752
674,2:y,2:y,,0.718
675,2:y,2:y,,0.691
676,2:y,2:y,,0.718
677,2:y,2:y,,0.558
678,2:y,1:n,+,0.571
679,1:n,1:n,,0.746
680,1:n,1:n,,0.751
681,2:y,1:n,+,0.531
682,2:y,1:n,+,0.677
683,1:n,1:n,,0.747
684,1:n,1:n,,0.753
685,1:n,1:n,,0.747
686,1:n,1:n,,0.742
687,2:y,2:y,,0.699
688,2:y,2:y,,0.618
689,1:n,1:n,,0.751
690,2:y,2:y,,0.656
691,1:n,1:n,,0.754
692,2:y,2:y,,0.721
693,1:n,1:n,,0.724
694,1:n,1:n,,0.744
695,2:y,1:n,+,0.557
696,1:n,1:n,,0.751
697,1:n,1:n,,0.746
698,1:n,1:n,,0.569
699,1:n,1:n,,0.747
700,2:y,1:n,+,0.53
701,1:n,1:n,,0.512
702,2:y,2:y,,0.56
703,1:n,1:n,,0.734
704,1:n,1:n,,0.746
705,2:y,2:y,,0.554
706,1:n,1:n,,0.568
707,2:y,2:y,,0.675
708,2:y,2:y,,0.628
709,2:y,2:y,,0.645
710,2:y,2:y,,0.711
711,2:y,2:y,,0.56
712,1:n,1:n,,0.747
713,1:n,1:n,,0.752
714,2:y,2:y,,0.674
715,2:y,2:y,,0.552
716,1:n,1:n,,0.751
717,1:n,1:n,,0.746
718,1:n,1:n,,0.752
719,1:n,1:n,,0.742
720,2:y,2:y,,0.713
721,1:n,1:n,,0.751
722,1:n,1:n,,0.751
723,2:y,2:y,,0.614
724,1:n,1:n,,0.75
725,1:n,1:n,,0.749
726,2:y,2:y,,0.711
727,1:n,1:n,,0.746
728,1:n,1:n,,0.755
729,2:y,1:n,+,0.522
730,1:n,1:n,,0.752
731,2:y,2:y,,0.594
732,2:y,2:y,,0.68
733,2:y,2:y,,0.6
734,2:y,2:y,,0.61
735,1:n,1:n,,0.749
736,1:n,1:n,,0.746
737,2:y,2:y,,0.624
738,2:y,2:y,,0.501
739,2:y,2:y,,0.711
740,2:y,2:y,,0.536
741,1:n,1:n,,0.729
742,2:y,2:y,,0.675
743,2:y,2:y,,0.591
744,1:n,1:n,,0.751
745,2:y,1:n,+,0.503
746,2:y,2:y,,0.648
747,2:y,2:y,,0.699
748,1:n,1:n,,0.512
749,2:y,2:y,,0.703
750,1:n,1:n,,0.747
751,1:n,1:n,,0.746
752,2:y,2:y,,0.523
753,2:y,2:y,,0.527
754,2:y,2:y,,0.59
755,1:n,1:n,,0.555
756,1:n,1:n,,0.729
757,2:y,1:n,+,0.523
758,1:n,1:n,,0.531
759,2:y,1:n,+,0.546
760,2:y,1:n,+,0.5
761,2:y,2:y,,0.711
762,1:n,1:n,,0.751
763,2:y,2:y,,0.638
764,1:n,1:n,,0.743
765,2:y,2:y,,0.72
766,1:n,1:n,,0.747
767,1:n,1:n,,0.751
768,2:y,2:y,,0.668
769,1:n,1:n,,0.735
770,2:y,2:y,,0.579
771,2:y,2:y,,0.603
772,1:n,1:n,,0.568
773,1:n,1:n,,0.751
774,2:y,2:y,,0.711
775,1:n,1:n,,0.749
776,2:y,1:n,+,0.545
777,2:y,1:n,+,0.57
778,2:y,1:n,+,0.675
779,1:n,1:n,,0.74
780,2:y,2:y,,0.644
781,1:n,1:n,,0.751
782,2:y,2:y,,0.617
783,1:n,1:n,,0.751
784,1:n,1:n,,0.751
785,2:y,2:y,,0.721
786,1:n,1:n,,0.747
787,1:n,1:n,,0.598
788,1:n,1:n,,0.746
789,2:y,2:y,,0.696
790,2:y,2:y,,0.711
791,2:y,2:y,,0.681
792,2:y,2:y,,0.644
793,2:y,2:y,,0.711
794,1:n,1:n,,0.743
795,1:n,1:n,,0.751
796,2:y,2:y,,0.695
797,1:n,1:n,,0.746
798,2:y,2:y,,0.661
799,1:n,1:n,,0.737
800,1:n,1:n,,0.598
801,1:n,1:n,,0.751
802,2:y,2:y,,0.721
803,2:y,2:y,,0.721
804,1:n,1:n,,0.746
805,1:n,1:n,,0.572
806,1:n,1:n,,0.618
807,1:n,1:n,,0.746
808,2:y,2:y,,0.692
809,2:y,2:y,,0.686
810,1:n,1:n,,0.755
811,2:y,2:y,,0.721
812,1:n,1:n,,0.752
813,1:n,1:n,,0.751
814,1:n,1:n,,0.751
815,2:y,2:y,,0.717
816,2:y,2:y,,0.669
817,1:n,1:n,,0.749
818,2:y,2:y,,0.627
819,2:y,2:y,,0.538
820,1:n,1:n,,0.75
821,1:n,1:n,,0.745
822,2:y,2:y,,0.711
823,1:n,1:n,,0.743
824,1:n,1:n,,0.592
825,1:n,1:n,,0.75
826,2:y,2:y,,0.659
827,1:n,1:n,,0.747
828,1:n,1:n,,0.752
829,1:n,1:n,,0.555
830,2:y,2:y,,0.604
831,1:n,1:n,,0.747
832,1:n,1:n,,0.743
833,2:y,2:y,,0.58
834,2:y,2:y,,0.62
835,1:n,1:n,,0.746
836,1:n,1:n,,0.747
837,2:y,2:y,,0.721
838,2:y,2:y,,0.706
839,2:y,2:y,,0.692
840,2:y,2:y,,0.654
841,2:y,2:y,,0.692
842,2:y,1:n,+,0.503
843,2:y,2:y,,0.702
844,1:n,1:n,,0.748
845,1:n,1:n,,0.736
846,1:n,1:n,,0.749
847,2:y,2:y,,0.721
848,2:y,2:y,,0.532
849,2:y,1:n,+,0.544
850,2:y,1:n,+,0.508
851,1:n,1:n,,0.561
852,1:n,1:n,,0.751
853,1:n,1:n,,0.587
854,1:n,1:n,,0.751
855,2:y,2:y,,0.711
856,2:y,2:y,,0.614
857,1:n,1:n,,0.751
858,1:n,1:n,,0.742
859,1:n,1:n,,0.747
860,1:n,1:n,,0.742
861,1:n,1:n,,0.726
862,1:n,1:n,,0.735
863,2:y,2:y,,0.721
864,2:y,1:n,+,0.536
865,2:y,2:y,,0.533
866,1:n,1:n,,0.751
867,1:n,1:n,,0.751
868,2:y,2:y,,0.72
869,1:n,1:n,,0.747
