=== Run information ===

Scheme:       weka.classifiers.lazy.IBk -K 1 -W 0 -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.EuclideanDistance -R first-last\""
Relation:     featureVectorsDumpCaraotaDigitalCNNELaPatilla_cluster_density-weka.filters.unsupervised.attribute.RenameNominalValues-R11-Ncluster2:y,cluster1:n-weka.filters.unsupervised.attribute.SortLabels-Rfirst-last-SNON-CASE-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst
Instances:    3000
Attributes:   11
              tweet_id
              hashtags
              mentions
              uppercase
              nonalpha
              urls
              len
              numbers
              favorite_count
              retweet_count
              cluster
Test mode:    split 70.0% train, remainder test

=== Classifier model (full training set) ===

IB1 instance-based classifier
using 1 nearest neighbour(s) for classification


Time taken to build model: 0.01 seconds

=== Predictions on test split ===

inst#,actual,predicted,error,prediction
273,2:y,2:y,,1
274,1:n,1:n,,1
275,1:n,1:n,,1
276,1:n,1:n,,1
277,1:n,1:n,,1
278,1:n,1:n,,1
279,1:n,1:n,,1
280,1:n,1:n,,1
281,1:n,1:n,,1
282,2:y,2:y,,1
283,1:n,1:n,,1
284,2:y,2:y,,1
285,1:n,1:n,,1
286,1:n,1:n,,1
287,2:y,2:y,,1
288,1:n,1:n,,1
289,2:y,2:y,,1
290,2:y,2:y,,1
291,2:y,2:y,,1
292,1:n,1:n,,1
293,1:n,1:n,,1
294,2:y,2:y,,1
295,2:y,2:y,,1
296,2:y,2:y,,1
297,1:n,1:n,,1
298,1:n,1:n,,1
299,1:n,1:n,,1
300,1:n,1:n,,1
301,1:n,1:n,,1
302,2:y,2:y,,1
303,2:y,2:y,,1
304,1:n,1:n,,1
305,1:n,1:n,,1
306,2:y,1:n,+,1
307,2:y,2:y,,1
308,1:n,1:n,,1
309,1:n,1:n,,1
310,1:n,1:n,,1
311,1:n,1:n,,1
312,1:n,1:n,,1
313,1:n,1:n,,1
314,2:y,2:y,,1
315,1:n,1:n,,1
316,2:y,2:y,,1
317,1:n,1:n,,1
318,1:n,1:n,,1
319,1:n,1:n,,1
320,1:n,1:n,,1
321,2:y,2:y,,1
322,2:y,2:y,,1
323,2:y,2:y,,1
324,2:y,2:y,,1
325,1:n,1:n,,1
326,2:y,2:y,,1
327,2:y,2:y,,1
328,2:y,2:y,,1
329,1:n,1:n,,1
330,2:y,2:y,,1
331,1:n,1:n,,1
332,2:y,2:y,,1
333,1:n,1:n,,1
334,2:y,2:y,,1
335,1:n,1:n,,1
336,2:y,2:y,,1
337,2:y,2:y,,1
338,2:y,2:y,,1
339,2:y,2:y,,1
340,1:n,1:n,,1
341,2:y,2:y,,1
342,2:y,2:y,,1
343,1:n,1:n,,1
344,2:y,2:y,,1
345,2:y,2:y,,1
346,1:n,1:n,,1
347,2:y,2:y,,1
348,2:y,2:y,,1
349,2:y,2:y,,1
350,2:y,2:y,,1
351,2:y,2:y,,1
352,1:n,1:n,,1
353,2:y,2:y,,1
354,2:y,2:y,,1
355,2:y,2:y,,1
356,1:n,1:n,,1
357,1:n,1:n,,1
358,2:y,2:y,,1
359,1:n,1:n,,1
360,2:y,2:y,,1
361,1:n,1:n,,1
362,1:n,1:n,,1
363,1:n,1:n,,1
364,1:n,1:n,,1
365,1:n,1:n,,1
366,1:n,1:n,,1
367,2:y,2:y,,1
368,2:y,2:y,,1
369,2:y,2:y,,1
370,2:y,2:y,,1
371,1:n,1:n,,1
372,2:y,2:y,,1
373,1:n,1:n,,1
374,1:n,1:n,,1
375,1:n,1:n,,1
376,1:n,1:n,,1
377,2:y,2:y,,1
378,1:n,1:n,,1
379,1:n,1:n,,1
380,2:y,2:y,,1
381,1:n,1:n,,1
382,1:n,1:n,,1
383,1:n,1:n,,1
384,1:n,2:y,+,1
385,1:n,1:n,,1
386,1:n,1:n,,1
387,1:n,1:n,,1
388,1:n,1:n,,1
389,1:n,1:n,,1
390,2:y,2:y,,1
391,2:y,2:y,,1
392,1:n,1:n,,1
393,1:n,1:n,,1
394,2:y,2:y,,1
395,1:n,1:n,,1
396,1:n,1:n,,1
397,2:y,2:y,,1
398,2:y,2:y,,1
399,2:y,2:y,,1
400,1:n,1:n,,1
401,1:n,1:n,,1
402,2:y,2:y,,1
403,1:n,1:n,,1
404,2:y,2:y,,1
405,1:n,1:n,,1
406,1:n,1:n,,1
407,1:n,1:n,,1
408,2:y,2:y,,1
409,2:y,2:y,,1
410,1:n,1:n,,1
411,1:n,1:n,,1
412,1:n,1:n,,1
413,1:n,1:n,,1
414,1:n,1:n,,1
415,2:y,2:y,,1
416,2:y,2:y,,1
417,2:y,2:y,,1
418,1:n,1:n,,1
419,1:n,1:n,,1
420,1:n,1:n,,1
421,2:y,2:y,,1
422,1:n,1:n,,1
423,1:n,2:y,+,1
424,1:n,1:n,,1
425,1:n,1:n,,1
426,1:n,1:n,,1
427,2:y,2:y,,1
428,2:y,2:y,,1
429,2:y,2:y,,1
430,2:y,2:y,,1
431,1:n,1:n,,1
432,2:y,2:y,,1
433,2:y,2:y,,1
434,1:n,1:n,,1
435,1:n,1:n,,1
436,1:n,1:n,,1
437,1:n,1:n,,1
438,2:y,2:y,,1
439,1:n,1:n,,1
440,1:n,1:n,,1
441,1:n,1:n,,1
442,2:y,2:y,,1
443,1:n,1:n,,1
444,2:y,2:y,,1
445,2:y,2:y,,1
446,1:n,1:n,,1
447,1:n,1:n,,1
448,1:n,1:n,,1
449,2:y,2:y,,1
450,1:n,1:n,,1
451,2:y,2:y,,1
452,1:n,1:n,,1
453,1:n,1:n,,1
454,1:n,1:n,,1
455,1:n,1:n,,1
456,2:y,2:y,,1
457,1:n,1:n,,1
458,2:y,2:y,,1
459,1:n,1:n,,1
460,1:n,1:n,,1
461,1:n,1:n,,1
462,2:y,2:y,,1
463,2:y,2:y,,1
464,2:y,2:y,,1
465,1:n,1:n,,1
466,2:y,2:y,,1
467,2:y,2:y,,1
468,1:n,1:n,,1
469,1:n,1:n,,1
470,1:n,1:n,,1
471,1:n,1:n,,1
472,2:y,1:n,+,1
473,1:n,1:n,,1
474,2:y,2:y,,1
475,1:n,1:n,,1
476,1:n,1:n,,1
477,1:n,1:n,,1
478,1:n,1:n,,1
479,1:n,1:n,,1
480,1:n,1:n,,1
481,2:y,2:y,,1
482,2:y,2:y,,1
483,1:n,1:n,,1
484,2:y,2:y,,1
485,2:y,2:y,,1
486,1:n,1:n,,1
487,2:y,2:y,,1
488,1:n,1:n,,1
489,1:n,1:n,,1
490,1:n,1:n,,1
491,1:n,1:n,,1
492,2:y,2:y,,1
493,2:y,2:y,,1
494,1:n,1:n,,1
495,2:y,2:y,,1
496,2:y,2:y,,1
497,1:n,1:n,,1
498,2:y,2:y,,1
499,1:n,1:n,,1
500,2:y,2:y,,1
501,1:n,1:n,,1
502,2:y,2:y,,1
503,1:n,1:n,,1
504,1:n,1:n,,1
505,1:n,1:n,,1
506,1:n,1:n,,1
507,1:n,1:n,,1
508,1:n,1:n,,1
509,1:n,1:n,,1
510,2:y,2:y,,1
511,2:y,2:y,,1
512,1:n,1:n,,1
513,1:n,1:n,,1
514,1:n,1:n,,1
515,2:y,2:y,,1
516,1:n,1:n,,1
517,1:n,1:n,,1
518,2:y,2:y,,1
519,2:y,2:y,,1
520,1:n,1:n,,1
521,2:y,2:y,,1
522,1:n,1:n,,1
523,1:n,1:n,,1
524,2:y,2:y,,1
525,2:y,2:y,,1
526,2:y,2:y,,1
527,2:y,2:y,,1
528,1:n,1:n,,1
529,1:n,1:n,,1
530,1:n,1:n,,1
531,1:n,1:n,,1
532,2:y,2:y,,1
533,2:y,2:y,,1
534,1:n,1:n,,1
535,1:n,1:n,,1
536,2:y,2:y,,1
537,1:n,1:n,,1
538,2:y,2:y,,1
539,1:n,1:n,,1
540,1:n,1:n,,1
541,2:y,2:y,,1
542,2:y,2:y,,1
543,2:y,2:y,,1
544,1:n,2:y,+,1
545,2:y,2:y,,1
546,2:y,2:y,,1
547,1:n,1:n,,1
548,1:n,1:n,,1
549,2:y,2:y,,1
550,1:n,1:n,,1
551,2:y,2:y,,1
552,1:n,1:n,,1
553,2:y,2:y,,1
554,1:n,1:n,,1
555,2:y,2:y,,1
556,1:n,1:n,,1
557,1:n,1:n,,1
558,1:n,1:n,,1
559,2:y,2:y,,1
560,2:y,2:y,,1
561,1:n,1:n,,1
562,1:n,1:n,,1
563,1:n,1:n,,1
564,1:n,1:n,,1
565,2:y,2:y,,1
566,1:n,1:n,,1
567,1:n,1:n,,1
568,1:n,1:n,,1
569,1:n,1:n,,1
570,2:y,2:y,,1
571,1:n,1:n,,1
572,1:n,1:n,,1
573,2:y,2:y,,1
574,2:y,2:y,,1
575,2:y,2:y,,1
576,2:y,2:y,,1
577,2:y,2:y,,1
578,2:y,2:y,,1
579,2:y,2:y,,1
580,2:y,2:y,,1
581,2:y,2:y,,1
582,1:n,1:n,,1
583,1:n,1:n,,1
584,2:y,2:y,,1
585,2:y,2:y,,1
586,1:n,1:n,,1
587,1:n,1:n,,1
588,1:n,1:n,,1
589,2:y,2:y,,1
590,1:n,1:n,,1
591,1:n,1:n,,1
592,2:y,2:y,,1
593,1:n,1:n,,1
594,2:y,2:y,,1
595,2:y,2:y,,1
596,1:n,1:n,,1
597,2:y,2:y,,1
598,1:n,1:n,,1
599,1:n,1:n,,1
600,2:y,1:n,+,1
601,2:y,2:y,,1
602,1:n,1:n,,1
603,1:n,1:n,,1
604,1:n,1:n,,1
605,2:y,2:y,,1
606,1:n,1:n,,1
607,2:y,2:y,,1
608,2:y,2:y,,1
609,1:n,1:n,,1
610,2:y,2:y,,1
611,1:n,1:n,,1
612,2:y,2:y,,1
613,2:y,1:n,+,1
614,2:y,2:y,,1
615,1:n,1:n,,1
616,2:y,2:y,,1
617,1:n,1:n,,1
618,1:n,1:n,,1
619,1:n,1:n,,1
620,2:y,2:y,,1
621,1:n,1:n,,1
622,2:y,2:y,,1
623,1:n,1:n,,1
624,1:n,1:n,,1
625,2:y,2:y,,1
626,1:n,1:n,,1
627,2:y,1:n,+,1
628,1:n,1:n,,1
629,2:y,2:y,,1
630,1:n,1:n,,1
631,1:n,1:n,,1
632,2:y,2:y,,1
633,1:n,1:n,,1
634,2:y,2:y,,1
635,2:y,2:y,,1
636,1:n,1:n,,1
637,2:y,2:y,,1
638,1:n,1:n,,1
639,1:n,1:n,,1
640,1:n,1:n,,1
641,1:n,1:n,,1
642,2:y,2:y,,1
643,1:n,1:n,,1
644,1:n,1:n,,1
645,1:n,1:n,,1
646,1:n,1:n,,1
647,1:n,1:n,,1
648,2:y,2:y,,1
649,1:n,1:n,,1
650,2:y,2:y,,1
651,1:n,1:n,,1
652,2:y,2:y,,1
653,1:n,1:n,,1
654,2:y,2:y,,1
655,2:y,2:y,,1
656,2:y,2:y,,1
657,2:y,2:y,,1
658,2:y,2:y,,1
659,1:n,1:n,,1
660,1:n,1:n,,1
661,1:n,1:n,,1
662,1:n,1:n,,1
663,2:y,2:y,,1
664,1:n,1:n,,1
665,1:n,1:n,,1
666,2:y,1:n,+,1
667,1:n,1:n,,1
668,2:y,2:y,,1
669,2:y,2:y,,1
670,1:n,1:n,,1
671,2:y,2:y,,1
672,1:n,1:n,,1
673,1:n,1:n,,1
674,2:y,2:y,,1
675,2:y,2:y,,1
676,2:y,2:y,,1
677,2:y,2:y,,1
678,2:y,2:y,,1
679,1:n,1:n,,1
680,1:n,1:n,,1
681,2:y,2:y,,1
682,2:y,2:y,,1
683,1:n,1:n,,1
684,1:n,1:n,,1
685,1:n,1:n,,1
686,1:n,1:n,,1
687,2:y,2:y,,1
688,2:y,2:y,,1
689,1:n,1:n,,1
690,2:y,2:y,,1
691,1:n,1:n,,1
692,2:y,2:y,,1
693,1:n,1:n,,1
694,1:n,1:n,,1
695,2:y,2:y,,1
696,1:n,1:n,,1
697,1:n,1:n,,1
698,1:n,2:y,+,1
699,1:n,1:n,,1
700,2:y,2:y,,1
701,1:n,1:n,,1
702,2:y,2:y,,1
703,1:n,1:n,,1
704,1:n,1:n,,1
705,2:y,2:y,,1
706,1:n,1:n,,1
707,2:y,2:y,,1
708,2:y,2:y,,1
709,2:y,2:y,,1
710,2:y,2:y,,1
711,2:y,2:y,,1
712,1:n,1:n,,1
713,1:n,1:n,,1
714,2:y,2:y,,1
715,2:y,2:y,,1
716,1:n,1:n,,1
717,1:n,1:n,,1
718,1:n,1:n,,1
719,1:n,1:n,,1
720,2:y,2:y,,1
721,1:n,1:n,,1
722,1:n,1:n,,1
723,2:y,2:y,,1
724,1:n,1:n,,1
725,1:n,1:n,,1
726,2:y,2:y,,1
727,1:n,1:n,,1
728,1:n,1:n,,1
729,2:y,2:y,,1
730,1:n,1:n,,1
731,2:y,2:y,,1
732,2:y,2:y,,1
733,2:y,2:y,,1
734,2:y,2:y,,1
735,1:n,1:n,,1
736,1:n,1:n,,1
737,2:y,2:y,,1
738,2:y,2:y,,1
739,2:y,2:y,,1
740,2:y,2:y,,1
741,1:n,1:n,,1
742,2:y,2:y,,1
743,2:y,2:y,,1
744,1:n,1:n,,1
745,2:y,2:y,,1
746,2:y,2:y,,1
747,2:y,2:y,,1
748,1:n,2:y,+,1
749,2:y,2:y,,1
750,1:n,1:n,,1
751,1:n,1:n,,1
752,2:y,2:y,,1
753,2:y,2:y,,1
754,2:y,2:y,,1
755,1:n,1:n,,1
756,1:n,1:n,,1
757,2:y,2:y,,1
758,1:n,1:n,,1
759,2:y,2:y,,1
760,2:y,2:y,,1
761,2:y,2:y,,1
762,1:n,1:n,,1
763,2:y,2:y,,1
764,1:n,1:n,,1
765,2:y,2:y,,1
766,1:n,1:n,,1
767,1:n,1:n,,1
768,2:y,2:y,,1
769,1:n,1:n,,1
770,2:y,2:y,,1
771,2:y,2:y,,1
772,1:n,1:n,,1
773,1:n,1:n,,1
774,2:y,2:y,,1
775,1:n,1:n,,1
776,2:y,2:y,,1
777,2:y,2:y,,1
778,2:y,2:y,,1
779,1:n,1:n,,1
780,2:y,2:y,,1
781,1:n,1:n,,1
782,2:y,2:y,,1
783,1:n,1:n,,1
784,1:n,1:n,,1
785,2:y,2:y,,1
786,1:n,1:n,,1
787,1:n,1:n,,1
788,1:n,1:n,,1
789,2:y,2:y,,1
790,2:y,2:y,,1
791,2:y,2:y,,1
792,2:y,2:y,,1
793,2:y,2:y,,1
794,1:n,1:n,,1
795,1:n,1:n,,1
796,2:y,2:y,,1
797,1:n,1:n,,1
798,2:y,2:y,,1
799,1:n,1:n,,1
800,1:n,1:n,,1
801,1:n,1:n,,1
802,2:y,2:y,,1
803,2:y,2:y,,1
804,1:n,1:n,,1
805,1:n,1:n,,1
806,1:n,1:n,,1
807,1:n,1:n,,1
808,2:y,2:y,,1
809,2:y,2:y,,1
810,1:n,1:n,,1
811,2:y,2:y,,1
812,1:n,1:n,,1
813,1:n,1:n,,1
814,1:n,1:n,,1
815,2:y,2:y,,1
816,2:y,2:y,,1
817,1:n,1:n,,1
818,2:y,2:y,,1
819,2:y,2:y,,1
820,1:n,1:n,,1
821,1:n,1:n,,1
822,2:y,2:y,,1
823,1:n,1:n,,1
824,1:n,1:n,,1
825,1:n,1:n,,1
826,2:y,2:y,,1
827,1:n,1:n,,1
828,1:n,1:n,,1
829,1:n,1:n,,1
830,2:y,2:y,,1
831,1:n,1:n,,1
832,1:n,1:n,,1
833,2:y,2:y,,1
834,2:y,2:y,,1
835,1:n,1:n,,1
836,1:n,1:n,,1
837,2:y,2:y,,1
838,2:y,2:y,,1
839,2:y,2:y,,1
840,2:y,2:y,,1
841,2:y,2:y,,1
842,2:y,2:y,,1
843,2:y,2:y,,1
844,1:n,1:n,,1
845,1:n,1:n,,1
846,1:n,1:n,,1
847,2:y,2:y,,1
848,2:y,2:y,,1
849,2:y,2:y,,1
850,2:y,2:y,,1
851,1:n,1:n,,1
852,1:n,1:n,,1
853,1:n,1:n,,1
854,1:n,1:n,,1
855,2:y,2:y,,1
856,2:y,2:y,,1
857,1:n,1:n,,1
858,1:n,1:n,,1
859,1:n,1:n,,1
860,1:n,1:n,,1
861,1:n,1:n,,1
862,1:n,1:n,,1
863,2:y,2:y,,1
864,2:y,2:y,,1
865,2:y,2:y,,1
866,1:n,1:n,,1
867,1:n,1:n,,1
868,2:y,2:y,,1
869,1:n,1:n,,1
870,2:y,1:n,+,1
871,1:n,1:n,,1
872,2:y,2:y,,1
873,1:n,1:n,,1
874,1:n,1:n,,1
875,2:y,2:y,,1
876,2:y,2:y,,1
877,2:y,2:y,,1
878,1:n,1:n,,1
879,1:n,1:n,,1
880,2:y,1:n,+,1
881,2:y,2:y,,1
882,2:y,2:y,,1
883,2:y,2:y,,1
884,1:n,1:n,,1
885,1:n,1:n,,1
886,1:n,1:n,,1
887,2:y,2:y,,1
888,2:y,2:y,,1
889,2:y,2:y,,1
890,1:n,1:n,,1
891,1:n,2:y,+,1
892,2:y,2:y,,1
893,1:n,1:n,,1
894,1:n,1:n,,1
895,1:n,1:n,,1
896,2:y,2:y,,1
897,1:n,1:n,,1
898,2:y,2:y,,1
899,2:y,2:y,,1
900,1:n,1:n,,1

=== Evaluation on test split ===

Time taken to test model on test split: 0.56 seconds

=== Summary ===

Correctly Classified Instances         882               98      %
Incorrectly Classified Instances        18                2      %
Kappa statistic                          0.9598
Mean absolute error                      0.0205
Root mean squared error                  0.1414
Relative absolute error                  4.1312 %
Root relative squared error             28.2423 %
Total Number of Instances              900     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0,985    0,026    0,977      0,985    0,981      0,960    0,978     0,968     n
                 0,974    0,015    0,983      0,974    0,978      0,960    0,978     0,970     y
Weighted Avg.    0,980    0,021    0,980      0,980    0,980      0,960    0,978     0,969     

=== Confusion Matrix ===

   a   b   <-- classified as
 473   7 |   a = n
  11 409 |   b = y

